id;fecha_alta;fecha_baja;estado;condicion;individuo_id;cliente_id
1;2022-01-24T04:29:28;null;Eslovaquia leverage;back-end Guapo Ladrillo;1;1
2;2022-01-23T14:59:16;2022-01-23T18:49:14;Buckinghamshire;monetize;2;1
3;2022-01-24T13:20:31;2022-05-23T18:49:14;sistemática Andalucía;programming;3;1
4;2022-01-24T09:37:27;null;Vía maximizada;Silla;2;3
5;2022-01-23T18:40:32;null;mobile Ingeniero;Murcia;3;3
6;2022-01-24T05:00:14;null;Bielorusia Account Mancha;Madera primary Account;3;4
7;2022-01-24T02:11:32;null;Compartible index;online;3;5
8;2022-01-24T07:13:49;null;recontextualize Innovador;convergence Acero Futuro;3;6
9;2022-01-23T16:37:23;null;systems Verde Regional;Violeta Sabroso;3;7
10;2022-01-24T07:28:39;2022-01-23T21:30:17;AGP;efficient Cambridgeshire Public-key;4;7
