id;hora_salida;hora_llegada;hora_libre
1;2022-01-23T18:57:11;2022-01-24T03:15:32;2022-01-24T08:58:03
2;2022-01-24T02:29:21;2022-01-24T07:28:12;2022-01-23T19:27:44
3;2022-01-23T21:29:31;2022-01-24T05:57:10;2022-01-24T12:55:02
4;2022-01-24T07:48:38;2022-01-23T16:40:51;2022-01-24T00:25:10
5;2022-01-23T22:29:00;2022-01-24T01:57:54;2022-01-24T13:38:44
6;2022-01-24T00:32:44;2022-01-24T07:19:53;2022-01-24T10:25:19
7;2022-01-24T00:40:08;2022-01-24T09:28:53;2022-01-23T15:30:02
8;2022-01-23T17:24:46;2022-01-24T02:14:08;2022-01-24T08:57:02
9;2022-01-24T13:02:52;2022-01-23T21:35:26;2022-01-23T23:49:17
10;2022-01-23T15:47:31;2022-01-23T18:58:59;2022-01-24T06:37:02
