id;socio;suministro;fecha_factura;tipo_comp;letra_comp;pto_vta_comp;numero_comp;servicio;item;orden;importe
1;52435;21819;2022-07-14T11:38:08;Checking Pública;multiestado;39749;monitor;75062;42945;41486;12506
2;56620;98290;2022-07-14T00:12:23;Bebes Account interfaces;transmit;45353;Increible Muelle Granito;63124;68870;61043;25938
3;42936;99122;2022-07-14T09:50:12;index override;productividad Tunez;74908;Directo deposit;12369;6543;2745;50675
4;10947;25571;2022-07-13T13:03:57;Honduras state Navarra;integrate invoice del;37171;configurable multi-byte Nacional;9672;20645;8936;83241
5;79037;73557;2022-07-13T16:21:39;program morph;Amarillo;89567;Marketing;65898;88053;82177;67564
6;33413;20891;2022-07-14T09:26:50;indexing innovate holistic;Actualizable paralelismo;7145;Avon COM Tácticas;15440;7035;95928;85710
7;74552;43657;2022-07-13T17:26:03;reinvent;Bebes Librería;51567;Creativo;81166;85266;27483;36860
8;26324;94074;2022-07-14T03:47:10;hacking Maldivas;Violeta Tácticas Coordinador;31533;Práctico Guapo JSON;95992;8662;87601;45918
9;70730;61863;2022-07-13T17:57:31;Hormigon incentivize;Especialista quantify Inversor;29603;paradigma Decoración Avenida;34267;25781;42968;23186
10;70000;72427;2022-07-14T04:11:33;schemas horas;invoice calculating;22800;cross-platform synergistic SMS;91110;40898;93519;60493
