id;nombre;habilitaciones;descuentos;restricciones
1;Aragón Berkshire Gorro;SSL Moda;Forint innovate;Directo
2;International;Extremadura;AGP;Distrito Global Tácticas
3;Navarra interface;Opcional bifurcada Account;Infraestructura;Zapatos synthesizing
4;Account granular;auxiliary;content;Deportes
5;Orígenes Bricolaje India;input Oficial;Digitalizado Taiwan;Director Riel XSS
6;deposit architect;Mauritania Acero alarm;Supervisor;Algodón Bacon
7;Market bandwidth;Juguetería;SQL protocol;transmit matrix
8;Galicia;Configuración copying;Toallas;extensible Inteligente
9;codificar transmitting Kwacha;Verde;Belarussian;withdrawal
10;Hormigon;content Videojuegos Bebes;Algodón;Global
