id;codigo_regla;tipo_regla;datos;provision_id
1;repurpose schemas Ensalada;Habilita;emulación metodologías;1
2;transmit;Habilita;parsing wireless;1
3;Supervisor index;Habilita;quantifying;1
4;Soluciones Cuesta Algodón;Habilita;producto;2
5;deposit Nacional;Habilita;programming Zimbabwe monitor;2
6;Rústico Rojo;Habilita;Facilitador;3
7;Savings;Habilita;integrate enterprise;4
8;payment users;Habilita;Camiseta calculate multi-byte;5
9;COM Platinum;Habilita;Productor Camboya;6
10;Atún;Habilita;colaboración;7
