id;tipo;datos;precio;vigencia_desde;vigencia_hasta
1;Helena;1080p;22073;2022-01-23T21:02:12;2022-01-23T17:31:58
2;deposit;protocol up;25636;2022-01-24T11:30:41;2022-01-23T17:39:40
3;Blanco;Account Raton technologies;50588;2022-01-24T06:22:34;2022-01-23T14:47:50
4;Ruanda Pantalones calculating;Avon Fantástico;85964;2022-01-24T12:05:27;2022-01-24T02:31:29
5;THX;Acero Bicicleta Asturias;98470;2022-01-23T14:21:18;2022-01-24T07:38:53
6;e-business invoice Amigable;enterprise Serbian;10451;2022-01-24T09:44:27;2022-01-23T22:45:41
7;Madera;Orgánico Verde Morado;83582;2022-01-24T03:44:59;2022-01-24T09:52:04
8;system deposit Bacon;syndicate;40526;2022-01-24T12:43:25;2022-01-24T08:43:48
9;groupware emulación Malagasy;Rupiah;81336;2022-01-23T14:02:41;2022-01-24T04:16:36
10;didactica;Práctico Deportes Fácil;41535;2022-01-24T06:07:55;2022-01-23T17:46:31
